id,x_centroid,y_centroid,sharpness,roundness1,roundness2,n_pixels,peak,flux,mag,daofind_mag,ra,dec
1,89.31547757202743,0.6199571263770884,0.45730685300424734,0.18579265475273132,-0.07955946724778944,25,0.18394196033477783,1.0816080570220947,-0.08517478406429291,-0.015796278495347545,83.88299238590092,-69.27393978489808
2,202.98308439128027,0.6656767444834635,0.40458631245963655,0.17203405499458313,-0.01928306250723005,25,0.49789950251579285,2.9546444416046143,-1.1762630939483643,-1.2102892108132246,83.89290672000907,-69.28643469803008
3,232.9967515179337,0.5408106624225659,0.3639548224303689,0.017250126227736473,0.0731683339043551,25,0.197672501206398,1.157501220703125,-0.15880364179611206,-0.30653539764035187,83.8955689538651,-69.28972963101785
4,175.5550063620294,2.8856446530766435,0.46598025034868334,-0.607315719127655,-0.43741739456287876,25,0.2753963768482208,0.8444236516952515,0.18359902501106262,-0.5557162046108833,83.88982162153808,-69.28348852549837
5,286.78465708486726,4.834995202819179,0.4574269039578392,-0.27447745203971863,0.21085498024021132,25,0.36837443709373474,5.5680928230285645,-1.8642661571502686,-0.06193141863694035,83.89894049352824,-69.29577383973437
6,78.14066780489702,7.322636022581371,0.48375053579058,-0.11463669687509537,0.02601688094989156,25,0.9404577612876892,7.432088375091553,-2.177777051925659,-1.610369779499043,83.87993970270546,-69.27291811144026
7,137.18299374015686,8.403775483777276,0.5305348859526627,-0.35473209619522095,0.1171310721381484,25,0.5817467570304871,4.770288467407227,-1.6963615417480469,-1.011616364231544,83.8847591300745,-69.27944110325227
8,254.84235697541504,9.272023675570063,0.516070824283128,-0.3479039967060089,-0.23997197779685395,25,0.4075346291065216,2.28725266456604,-0.8982853889465332,-0.78115118468897,83.89477087819161,-69.29240001971657
9,25.83646965298854,10.269792045413547,0.4679125786600108,-0.39581298828125,-0.0954424639842623,25,0.6992216110229492,5.865840435028076,-1.920825481414795,-1.3007723366076758,83.8744628235693,-69.26725976273714
10,121.07618648072231,10.418112967358013,0.48219831019657416,0.05311957374215126,0.05578447288060207,25,27.325407028198242,224.7175750732422,-5.879092693328857,-5.2563463162464785,83.88272828025806,-69.27773282967993
11,46.471940040494246,11.112142639368363,0.48696280606722797,-0.07413226366043091,-0.15177403525700595,25,2.0520355701446533,17.23594856262207,-3.091087818145752,-2.4151446571185637,83.87600195243822,-69.26955395035303
12,204.3314923582109,11.036472017083181,0.4896860516986532,-0.37443116307258606,-0.11406551355341574,25,0.57235187292099,3.6416049003601074,-1.4032320976257324,-1.1690050096263462,83.88980866004472,-69.28690277477833
13,8.321141236069636,12.316824465469388,0.48299899909384175,-0.6781830191612244,-0.28176861317032015,25,0.25017479062080383,2.123061418533325,-0.817406415939331,-0.15994607616384093,83.87230096069113,-69.26539755035773
14,292.5253856964992,14.396828717909864,0.4594160736981978,-0.27996936440467834,-0.014927522756798754,25,11.480140686035156,124.26914978027344,-5.235908031463623,-4.140522513011139,83.89647631526276,-69.29669981929189
15,77.46704356647845,18.636927915158807,0.4927891859870071,-0.07441451400518417,-0.10251992959916333,25,0.36813560128211975,3.2872862815856934,-1.2920938730239868,-0.5048792577416519,83.87637443877612,-69.27319277372115
16,317.8646435824559,19.290547231421975,0.48782336575413715,-0.4037403464317322,0.09127593495090396,25,0.42165088653564453,2.8980753421783447,-1.1552741527557373,-0.7992410102577185,83.89717432941357,-69.2996357965384
17,33.99037860626838,20.879508837173255,0.4959296066936284,-0.0904829204082489,-0.07698611776602086,25,1.734991192817688,14.429561614990234,-2.898132801055908,-2.229815638931255,83.87188661884434,-69.26848293677216
18,21.37995202934838,22.218708491702692,0.49903282268433974,0.18529187142848969,-0.0905743384322155,25,0.6235892176628113,5.7337327003479,-1.8960936069488525,-1.0677711410642368,83.87037188932983,-69.26713804200834
19,67.18008817122193,22.354165174366027,0.47390951651774127,-0.19971726834774017,0.007472532529599453,25,0.9961184859275818,8.477356910705566,-2.320651054382324,-1.6538343346261872,83.87432484792669,-69.27217658841036
20,236.34621154352695,22.82338863698394,0.49888202487349914,-0.22410759329795837,-0.06266761868102229,25,10.850077629089355,86.65849304199219,-4.844527721405029,-4.250347938600699,83.88895096914963,-69.2907850811549
21,197.3134095390561,24.714298591380263,0.5244370848718255,-0.14903581142425537,0.14797935759585853,25,0.34379351139068604,2.5070788860321045,-0.9979199767112732,-0.5346019236623313,83.88495401807441,-69.28655317223195
22,271.6195583344595,24.611079778923312,0.48781903411505195,-0.4558643102645874,0.010123168212876591,25,0.2881873548030853,1.9335218667984009,-0.7158727049827576,-0.390327895659237,83.89147967056259,-69.29471716088996
23,323.36100848552974,25.099192214666054,0.7619882355791687,0.03038640506565571,0.8952871548847848,25,1.486555814743042,11.534326553344727,-2.6549806594848633,-1.7414098133866567,83.89585281717665,-69.30041910519897
24,90.44049805361291,27.834494151128084,0.5028470233729417,-0.5671937465667725,-0.28960841657683606,25,0.30412060022354126,2.2716009616851807,-0.8908300995826721,-0.3908315022455964,83.87465585440346,-69.27490222598546
25,186.91563922564342,32.67588646952321,0.49984424799397076,0.01265893504023552,0.07702828212058592,25,0.2224712371826172,1.0550180673599243,-0.05814974009990692,-0.1801701556076743,83.88157695476588,-69.28565574985981
26,215.24510391890695,32.294778293261395,0.5160795230604441,-0.13496644794940948,0.325335798471282,25,0.32161232829093933,3.3139121532440186,-1.3008524179458618,-0.2672829237402981,83.88416970245441,-69.28875783863451
27,171.3530288718003,35.99350023618938,0.4906312480483957,-0.15285229682922363,-0.13561401076124063,25,3.581860303878784,28.62982177734375,-3.6420466899871826,-3.048198813181282,83.8791891843536,-69.28404742518529
